lat,lon,iata,name,city,country,elevation
32.245417,-109.894639,CWX,Cochise County Airport,Willcox,US,4187.3
34.730056,-112.035137,CTW,Cottonwood Airport,Cottonwood,US,3560.3
47.907318,-122.282094,PAE,Seattle Paine Field International Airport,Everett,US,606.9
37.060288,-88.772959,PAH,Barkley Regional Airport,Paducah,US,410.4
30.06905,-85.574988,PAM,Tyndall Afb Airport,Panama City,US,17.1
34.256836,-111.339256,PJB,Payson Airport,Payson,US,5160.4
37.461121,-122.115047,PAO,Palo Alto Airport,Palo Alto,US,6.7
34.174513,-91.935604,PBF,Pinebluff Regional/Grider Field,Pine Bluff,US,205.7
44.650944,-73.468139,PBG,Plattsburgh International Airport,Plattsburgh,US,234.2
26.683162,-80.095592,PBI,Palm Beach International Airport,West Palm Beach,US,19.6
37.561811,-82.566432,PVL,Pike County/Hatcher Field,Pikeville,US,1464.5
43.019285,-91.123733,PCD,Prairie Du Chien Municipal Airport,Prairie Du Chien,US,660.3
33.876002,-84.302031,PDK,Dekalb-Peachtree Airport,Atlanta,US,998.4
45.695096,-118.843369,PDT,Eastern Oregon Regional At Pendleton Airport,Pendleton,US,1494
45.588709,-122.596869,PDX,Portland International Airport,Portland,US,30.8
31.382389,-103.510722,PEQ,Pecos Municipal Airport,Pecos,US,2613.1
45.199361,-123.961894,PFC,Pacific City State Airport,Pacific City,US,10
36.926069,-111.448351,PGA,Page Municipal Airport,Page,US,4316.6
26.918592,-81.990886,PGD,Punta Gorda Airport,Punta Gorda,US,25.5
59.348475,-151.830322,PGM,Port Graham Airport,Port Graham,US,93
36.063806,-90.509194,PGR,Kirk Field,Paragould,US,290.2
35.635694,-77.384083,PGV,Pitt-Greenville Airport,Greenville,US,26.4
40.470167,-81.419944,PHD,Harry Clever Field,New Philadelphia,US,894.4
37.131889,-76.492972,PHF,Newport News/Williamsburg International Airport,Newport News,US,42.2
33.4517,-79.526177,ADR,Robert F Swinnie Airport,Andrews,US,26.4
26.785028,-80.693361,PHK,Palm Beach County Glades Airport,Pahokee,US,15.9
39.872084,-75.240663,PHL,Philadelphia International Airport,Philadelphia,US,35.9
42.910959,-82.52885,PHN,St Clair County International Airport,Port Huron,US,650.1
44.048731,-101.59884,PHP,Philip Airport,Philip,US,2209.2
36.335944,-88.384444,PHT,Henry County Airport,Paris,US,580.2
33.434278,-112.011583,PHX,Phoenix Sky Harbor International Airport,Phoenix,US,1134.8
40.664194,-89.69325,PIA,General Downing - Peoria International Airport,Peoria,US,660.7
31.467146,-89.337058,PIB,Hattiesburg/Laurel Regional Airport,Hattiesburg-Laurel,US,297.6
27.908634,-82.68651,PIE,St Pete-Clearwater International Airport,St Petersburg-Clearwater,US,10.7
42.909793,-112.595919,PIH,Pocatello Regional Airport,Pocatello,US,4451.9
32.840694,-84.882444,PIM,Harris County Airport,Pine Mountain,US,902
44.382687,-100.285975,PIR,Pierre Regional Airport,Pierre,US,1744.3
40.491417,-80.232694,PIT,Pittsburgh International Airport,Pittsburgh,US,1202.9
39.344962,-81.439293,PKB,Mid-Ohio Valley Regional Airport,Parkersburg,US,858.5
46.901204,-95.073106,PKD,Park Rapids Municipal/Konshok Field,Park Rapids,US,1444.5
45.955091,-90.424435,PKF,Park Falls Municipal Airport,Park Falls,US,1500.9
36.625928,-93.228923,PLK,M Graham Clark Downtown Airport,Branson,US,940.1
45.570917,-84.796722,PLN,Pellston Regional/Emmet County Airport,Pellston,US,720.6
33.558833,-86.249056,PLR,St Clair County Airport,Pell City,US,484.7
48.942417,-97.240667,PMB,Pembina Municipal Airport,Pembina,US,795.8
34.629389,-118.084553,PMD,Palmdale Usaf Plant 42 Airport,Palmdale,US,2542.5
38.840472,-82.847309,PMH,Greater Portsmouth Regional Airport,Portsmouth,US,663.4
26.24736,-80.111127,PPM,Pompano Beach Airpark,Pompano Beach,US,19.3
42.797389,-109.811028,PWY,Ralph Wenz Field,Pinedale,US,7096.2
36.731955,-97.099782,PNC,Ponca City Regional Airport,Ponca City,US,1008.6
40.081938,-75.010578,PNE,Northeast Philadelphia Airport,Philadelphia,US,119.8
45.20066,-67.564399,PNN,Princeton Municipal Airport,Princeton,US,264.9
30.473417,-87.186611,PNS,Pensacola International Airport,Pensacola,US,120.9
35.170889,-79.014497,POB,Pope Army Air Field,Fayetteville,US,218
34.091667,-117.781778,POC,Brackett Field,La Verne,US,1013.9
31.044782,-93.191642,POE,Maks Army Air Field,Fort Polk,US,330
36.773935,-90.324853,POF,Poplar Bluff Regional Business Airport,Poplar Bluff,US,330.8
42.742889,-94.647361,POH,Pocahontas Municipal Airport,Pocahontas,US,1225.5
41.626585,-73.884189,POU,Hudson Valley Regional Airport,Poughkeepsie,US,163.5
44.867167,-108.793417,POY,Powell Municipal Airport,Powell,US,5095.7
